"o_x","o_y","d_x","d_y","total_uv"
"106.787537","26.529703","106.792542","26.527903","485"
"106.797546","26.537804","106.799545","26.543205","483"
"106.780525","26.556705","106.774521","26.558506","481"
"106.77652","26.559406","106.780525","26.556705","478"
"106.77552","26.553104","106.77652","26.558506","476"
"106.770515","26.545904","106.780525","26.530603","475"
"106.795547","26.545004","106.801552","26.547705","468"
"106.802551","26.549505","106.799545","26.544104","468"
"106.797546","26.537804","106.800552","26.548605","467"
"106.795547","26.545004","106.800552","26.544104","464"
"106.772514","26.553104","106.77652","26.558506","456"
"106.78553","26.561207","106.780525","26.561207","456"
"106.803551","26.550406","106.798546","26.548605","456"
"106.781525","26.555805","106.773521","26.555805","455"
"106.77552","26.554005","106.780525","26.555805","454"
"106.77652","26.558506","106.772514","26.554005","451"
"106.77652","26.558506","106.774521","26.552206","451"
"106.77652","26.558506","106.781525","26.555805","451"
"106.795547","26.544104","106.801552","26.547705","442"
